,movie,year,imdb,metascore,votes
0,Tenet,2020,7.3,69,473640
1,Soul,2020,8.0,83,313332
2,Wonder Woman 1984,2020,5.4,60,257732
3,Birds of Prey,2020,6.0,60,230729
4,The Invisible Man,2020,7.1,72,219722
5,A Quiet Place Part II,2020,7.2,71,213224
6,Extraction,2020,6.7,56,194534
7,The Trial of the Chicago 7,2020,7.7,76,172695
8,Enola Holmes,2020,6.6,68,163807
9,Promising Young Woman,2020,7.5,73,163271
10,The Old Guard,2020,6.6,70,159234
11,Bad Boys for Life,2020,6.5,59,156997
12,Nomadland,2020,7.3,93,152964
13,Palm Springs,2020,7.4,83,151511
14,Another Round,2020,7.7,79,146251
15,Mulan,2020,5.7,66,145074
16,Onward,2020,7.4,61,143512
17,The Father,2020,8.2,88,139082
18,Borat Subsequent Moviefilm,2020,6.6,68,137721
19,Sonic the Hedgehog,2020,6.5,47,133413
20,The Devil All the Time,2020,7.1,55,129594
21,I Care a Lot,2020,6.3,66,129528
22,Love and Monsters,2020,6.9,63,123108
23,Greenland,2020,6.4,64,112927
24,The Hunt,2020,6.5,50,108897
25,Greyhound,2020,7.0,64,94035
26,Eurovision Song Contest: The Story of Fire Saga,2020,6.5,50,92437
27,Hamilton,2020,8.4,90,88996
28,Spenser Confidential,2020,6.2,49,86347
29,Project Power,2020,6.0,51,86191
30,News of the World,2020,6.8,73,84907
31,I'm Thinking of Ending Things,2020,6.6,78,82710
32,The Midnight Sky,2020,5.6,58,82235
33,The Social Dilemma,2020,7.6,78,80692
34,Underwater,2020,5.8,48,79877
35,Tenet,2020,7.3,69,473640
36,Soul,2020,8.0,83,313332
37,Wonder Woman 1984,2020,5.4,60,257732
38,Birds of Prey,2020,6.0,60,230729
39,The Invisible Man,2020,7.1,72,219722
40,A Quiet Place Part II,2020,7.2,71,213224
41,Extraction,2020,6.7,56,194534
42,The Trial of the Chicago 7,2020,7.7,76,172695
43,Enola Holmes,2020,6.6,68,163807
44,Promising Young Woman,2020,7.5,73,163271
45,The Old Guard,2020,6.6,70,159234
46,Bad Boys for Life,2020,6.5,59,156997
47,Nomadland,2020,7.3,93,152964
48,Palm Springs,2020,7.4,83,151511
49,Another Round,2020,7.7,79,146251
50,Mulan,2020,5.7,66,145074
51,Onward,2020,7.4,61,143512
52,The Father,2020,8.2,88,139082
53,Borat Subsequent Moviefilm,2020,6.6,68,137721
54,Sonic the Hedgehog,2020,6.5,47,133413
55,The Devil All the Time,2020,7.1,55,129594
56,I Care a Lot,2020,6.3,66,129528
57,Love and Monsters,2020,6.9,63,123108
58,Greenland,2020,6.4,64,112927
59,The Hunt,2020,6.5,50,108897
60,Greyhound,2020,7.0,64,94035
61,Eurovision Song Contest: The Story of Fire Saga,2020,6.5,50,92437
62,Hamilton,2020,8.4,90,88996
63,Spenser Confidential,2020,6.2,49,86347
64,Project Power,2020,6.0,51,86191
65,News of the World,2020,6.8,73,84907
66,I'm Thinking of Ending Things,2020,6.6,78,82710
67,The Midnight Sky,2020,5.6,58,82235
68,The Social Dilemma,2020,7.6,78,80692
69,Underwater,2020,5.8,48,79877
70,Tenet,2020,7.3,69,473640
71,Soul,2020,8.0,83,313332
72,Wonder Woman 1984,2020,5.4,60,257732
73,Birds of Prey,2020,6.0,60,230729
74,The Invisible Man,2020,7.1,72,219722
75,A Quiet Place Part II,2020,7.2,71,213224
76,Extraction,2020,6.7,56,194534
77,The Trial of the Chicago 7,2020,7.7,76,172695
78,Enola Holmes,2020,6.6,68,163807
79,Promising Young Woman,2020,7.5,73,163271
80,The Old Guard,2020,6.6,70,159234
